id,tweetid,created_at,user_id,text,anger,anticipation,disgust,fear,joy,love,optimism,pessimism,sadness,surprise,trust,care,harm,fairness,cheating,loyalty,betrayal,authority,subversion,purity,degradation
10,1.34e+18,2020-12-26 22:16:47+00:00,3286027794.0,@bxxsm @imlithun Disney needs to give us a spin off https://t.co/dpEEAJKERs,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0
11,1.34e+18,2020-12-07 06:07:03+00:00,337551721.0,Ladies don’t ever settle frfr,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0
12,1.25e+18,2020-04-02 23:50:42+00:00,2787119756.0,@rachelpdean Hm. That feels like a metaphor.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0
13,1.28e+18,2020-07-14 19:40:13+00:00,310062286.0,@DjWarrenPEACE Got to be rooftop👀🤔,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0
14,1.33e+18,2020-11-18 07:10:31+00:00,1.19477e+18,"Everything that makes America 🇺🇸 the home we love needs to be done. Life isn’t worth living if we aren’t living our lives with Thanksgiving, Christmas and other cultural events.",0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0
15,1.25e+18,2020-04-15 10:03:04+00:00,4384533750.0,Slam Dunk got me crying,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0
16,1.26e+18,2020-05-14 21:22:59+00:00,1690186524.0,@realDonaldTrump @NYGovCuomo @NYCMayor Wow. It's almost like you have someone just printing money for you. Must be nice.,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0
17,1.28e+18,2020-06-23 17:11:28+00:00,1.07406e+18,@realDonaldTrump Were u arrested for molesting kids ? 🤷🏾‍♂️🤣 no right,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0
18,1.34e+18,2020-12-21 03:52:56+00:00,313393282.0,Some men are weird af,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0
19,1.22e+18,2020-02-04 05:17:03+00:00,8.23258e+17,"Sorry Nick, no trump for you. #maga #49ers #bosa #NinerFaithful #fail https://t.co/VmKeUbIOVN",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0
20,1.3e+18,2020-09-02 20:32:58+00:00,808123634.0,"So cuz AMZN, AAPL and some others are richer than God, and trump’s govt is manipulating the mkt upwards, we’re supposed to think the US is doing well???
In 2020 the debt is larger than the GDP. Real people are hurting, but the orange cult guzzles the Kool-Aid. WTF!
Obscene.",1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0,0,0,0,0,1,0,0
21,1.23e+18,2020-03-03 03:59:17+00:00,1546639022.0,"?A.i.d.$ giving homosexual david bovVie is dead

i hear the pure jew is $tigl fu¢king after pope pius fo.r. his ™¢oncentratiOon camp{€∆}",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0
22,1.25e+18,2020-04-22 20:18:18+00:00,221947623.0,the hoe thoughts in quarantine are too damn much lol,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0
23,1.22e+18,2020-01-14 01:18:35+00:00,2281482584.0,@roycedagoat Shit they both support him clearly,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0
24,1.31e+18,2020-10-09 19:34:51+00:00,14103009.0,@Qanon76 Why are you intentionally spreading misinformation masked as truthful and collaborative?,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0
25,1.25e+18,2020-04-25 10:55:42+00:00,1.23469e+18,Health is wealth 🔥🔥🔥 Real life nothing like them clowns 😂😂😂🔪🔪🔪 @ScHoolboyQ https://t.co/BIsPrY9oyD,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0
26,1.34e+18,2020-12-27 23:51:11+00:00,1376065056.0,Goff sucky thumb game😤,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0
27,1.22e+18,2020-01-21 10:04:14+00:00,1027781965.0,I hate the fact that I’m up so late for no reason the day before a test,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0
28,1.26e+18,2020-05-12 20:53:12+00:00,9.49127e+17,WE FUCKING MISS YOU TOO😫😭💔,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0
29,1.24e+18,2020-03-24 04:26:36+00:00,1619534161.0,"I will NEVER get tired of watching, Diary of a Mad Black Woman 💓",1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0
30,1.34e+18,2020-12-12 03:35:39+00:00,1.3376e+18,@lovepiill @cIosedheart Drop your CashApp or PayPal and get spoiled now,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0
31,1.28e+18,2020-07-17 06:01:45+00:00,9.37202e+17,Absolutely! But it’s not going to work,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,1,0,0
32,1.32e+18,2020-11-05 01:50:17+00:00,1862540220.0,@kayleighmcenany @DonaldJTrumpJr Go away Kayleigh. Your time lying to America is up ⌛️ https://t.co/JV4klqITuY,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,1,0,0,0,0,0,0
33,1.26e+18,2020-05-10 15:33:13+00:00,3700724424.0,When that price tag on goyard that shit take off the whole tax,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0
34,1.22e+18,2020-01-25 23:17:07+00:00,9.03154e+17,I'm not a fan of chihuahuas... but I fucking love chubby chihuahuas.,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0
35,1.3e+18,2020-09-07 02:28:17+00:00,2961958260.0,"@CadenHouse @candacerthomas No one does this, no, ew.",0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0
36,1.26e+18,2020-05-24 05:24:04+00:00,341290703.0,@REBECCAQUIN111 You are most welcome https://t.co/34wDcsrCZG,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0
37,1.22e+18,2020-01-30 19:39:58+00:00,3145650061.0,We bumping @KidCudi music all day!!! Happy b day big brother 💜,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0
38,1.3e+18,2020-08-17 18:25:39+00:00,1.28131e+18,So yesterday at this friends bday party this mom was trying to take me home and she wanted to turn me out and stuff .....,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0
39,1.26e+18,2020-05-05 02:17:53+00:00,2332705602.0,My 3 year old daughter told me today she wants me to buy her a real light saber so she can smack me in the face with it...I don’t think that’s how the ‘real ones’ work.,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0
40,1.24e+18,2020-03-25 01:16:46+00:00,1.05023e+18,"420- probably my bestest friend right now, absolutely chaotic together, fuggin shigg you’re an awesome person i’m glad to know 🤓",0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0
41,1.23e+18,2020-02-28 19:08:50+00:00,24845356.0,@TheVixensworld That date just threw me back to our old CMHS days .. whew! Crazy how time has passed and seeing where people are today ✨,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0
42,1.33e+18,2020-11-28 18:15:46+00:00,292980808.0,"Just posted a photo @ Brea, California https://t.co/gq71HsfJVx",0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0
43,1.24e+18,2020-03-13 15:21:40+00:00,438027370.0,I broke up with my girlfriend and saved up like 2 grand in the weeks 😂😂.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0
44,1.27e+18,2020-06-06 19:49:41+00:00,1975452132.0,"Everyone experiences their first #aidslifecycle differently; I got to experience it virtually from home and to be honest, I was devastated that I wasn't going to be able to ride from SF to LA. All the training miles… https://t.co/MvLXUZj3N2",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0
45,1.25e+18,2020-04-01 03:43:06+00:00,68520657.0,"Today:
- made 500,000 bells from turnips
- paid off my loan to get a third room
- gave Lily some medicine bc wtf girl
- placed &amp; paid off an iron bridge
- added the campsite
- got drunk on the beach with Sherb",0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0
46,1.23e+18,2020-02-21 02:00:01+00:00,2588988072.0,@FJuanmanuel I got a weeks worth of dinners paid for baby we know how to do it right,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0
47,1.31e+18,2020-09-17 20:24:11+00:00,300572970.0,Just posted a photo @ Hollywood https://t.co/MMb4Li5ltI,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0
48,1.32e+18,2020-10-28 05:04:38+00:00,2191683230.0,"This aged beautifully.
WS CHAMPS BABYYYYY",0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0
49,1.28e+18,2020-07-12 19:57:24+00:00,252845735.0,The new Mad Max flick looks lit. https://t.co/aYwUq7AeCS,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0
50,1.29e+18,2020-08-15 23:57:15+00:00,874600686.0,@compa_daneyyy The repairs aint worth it,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0
51,1.23e+18,2020-02-09 20:30:59+00:00,9.49389e+17,So my sister goes to APU and she lives in the UV apartments and every time I go to my sisters place I see this hanging out the window and I finally took a pic and I love it. Even though they go to a Christian college it’s like saying I luv god and I’m gay. https://t.co/lWIGIM9Uj9,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0
52,1.32e+18,2020-10-23 15:18:58+00:00,2957796468.0,@ACTBrigitte Too hard a question...,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0
53,1.24e+18,2020-03-07 03:05:51+00:00,9.19812e+17,@XXL Ameer getting kicked from BROCKHAMPTON 😞,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0
54,1.33e+18,2020-11-30 04:35:54+00:00,168397172.0,@_khayess ??? So we can’t be homies,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0
55,1.26e+18,2020-05-15 18:17:40+00:00,1240089547.0,Was switching out my purse to go get my rent money for next month and found the lipstick I wore to Enigma https://t.co/g2bbOu0NUL,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0
56,1.24e+18,2020-03-08 22:06:57+00:00,158022244.0,"Contemplating moving to Tucson to make $66,000 a year. 🤔",0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0
57,1.27e+18,2020-05-27 08:58:53+00:00,4193853620.0,"Can you recommend anyone for this job? Welding Adjunct Instructor Applicant Pool - https://t.co/7FcwphiMtA #SantaClarita, CA #Education",0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0
58,1.33e+18,2020-11-08 15:57:31+00:00,76756405.0,@jazyknowsbetter So what you have to do is get your husband to agree that from this point on for the next 20 years you're going to make a way to make love morning noon and night. Full-blown it is 3 weeks out the month. Your sex life will never decrease but increase.,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0
59,1.29e+18,2020-08-03 19:02:59+00:00,81503941.0,can’t wait for quarantine to be over so I can be like this with my homies https://t.co/I3MjB11V7a,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0
60,1.23e+18,2020-02-18 18:05:58+00:00,1.11296e+18,First day at my new job https://t.co/e2ey1cSc2x,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0
61,1.22e+18,2020-01-12 23:21:17+00:00,223750202.0,Me when i finally purchase my copy of Animal Crossing on 3/20  https://t.co/uId0od2eds,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0
62,1.26e+18,2020-05-06 00:35:35+00:00,39402350.0,@ThatKevinSmith I don’t think the audience would be as big but it would definitely gather some fans. Look at the wolverine podcast or even book recordings famous actors reading reading famous books. I’ve heard people reading comic books on YouTube .  Doable !,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0
63,1.31e+18,2020-09-14 03:44:58+00:00,4191239027.0,"0344Z
N668PD LOS ANGELES POLICE DEPT AIR SUPPORT DIVISION
Squawk: 1200
N34.0796 W118.2492
Altitude: 1175ft
Course: 100º
Groundspeed: 56kts https://t.co/15TDOwwH4N",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0
64,1.28e+18,2020-07-06 11:02:57+00:00,104602193.0,Repugnantkkkans Culture  War to try to rewrite history. There will be no revision this time. Change is coming.,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0
65,1.26e+18,2020-05-17 05:34:35+00:00,7.98227e+17,It’s that time again. Shower beer time.,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0
66,1.24e+18,2020-03-22 01:06:38+00:00,4191239027.0,"0106Z
N223LA LAPD AIR SUPPORT DIVISION
Squawk: 1200
N34.0358 W118.4068
Altitude: 500ft
Course: 90º
Groundspeed: 111kts https://t.co/NuQOEip8LL",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0
67,1.22e+18,2020-01-28 02:36:31+00:00,14303901.0,"I have to admire the scheme of Bitcoin, even though I obviously disapprove of it at the same time. The inventor has convinced a large number of people and institutions to buy into the completely financially unregulated concept of private elastic money construction based on greed.",0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0
68,1.24e+18,2020-03-26 20:54:05+00:00,26360584.0,"Apologies to Fiona’s Tidal, Beatles Please, Please Me, the Miseducation of Lauryn Hill, Come Away with Me - Norah Jones, Hybrid Theory by Linkin Park, Pieces of You by Jewel and Are You Experienced by the Jimi Hendrix Experience. Other debut albums I loooove. https://t.co/BlrcpyI40y",0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0
69,1.24e+18,2020-03-11 05:44:48+00:00,29373658.0,"The gym was ridiculously packed. Still managed to get my chest and ab workout in. Not where I want to be but better than I was!
🟣
El gym está súper lleno. Así me esforcé y hice my rutina de pecho y abdominales. No… https://t.co/K8opXD0tSE",0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0
70,1.31e+18,2020-09-18 23:27:40+00:00,9.02952e+17,"@mitchellbyars CU = Cluster *Uck
@CUBoulder https://t.co/JJ707QRhd6",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0
71,1.34e+18,2020-12-30 17:55:59+00:00,119540553.0,@jazzymercedeez That turn is 🤮,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0
72,1.22e+18,2020-01-31 14:31:47+00:00,372814412.0,"That moment you’re staring at perfection in the eye... 
#adorable #myLove #myamerica #mycolombianqueen #colombiangoddess  #latinqueen #mybestfriend #mylove #virgocancerlove @ In My Heart https://t.co/5JArHOXsBi",0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0
73,1.3e+18,2020-09-07 22:40:57+00:00,1.11058e+18,I really got real ones on my team I appreciate n love u all,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0
74,1.31e+18,2020-09-28 17:49:59+00:00,292619620.0,"Just posted a photo @ Los Angeles, California https://t.co/jwRwnpW1t9",0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0
75,1.27e+18,2020-06-16 14:25:28+00:00,2379141859.0,When you sneeze and the right side of your head throbs☺️🥵 love waking up with a migrianeeee🥰,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0
76,1.26e+18,2020-05-05 17:17:02+00:00,1656997231.0,"“Hey, guys. Come on! You don’t want to stay here forever, do you?” 🌴
Photo by: themariahmonroe 
Cosplay designed by: @thequirkycreation 
Wig styled by: alicianicolehairdesign 
MUA: @francheezy24 
#chel #cheldorado #theroadtoeldorado #eldorado @Dreamworks #utahimecosplay https://t.co/s5QYudzbO6",0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0
77,1.31e+18,2020-10-10 15:14:44+00:00,38368980.0,"This, too, shall pass. Everything is temporary. #youwillsmileagain #mentalhealthday #friendship #family #love @ Los Angeles, California https://t.co/QQK6Y6RgC6",0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0
78,1.34e+18,2020-12-14 23:24:15+00:00,211215801.0,"@Acosta It's a glorious feeling, humanity rising again.",0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0
79,1.23e+18,2020-02-23 21:49:11+00:00,8.10272e+17,@ModestMarill @T1 @playfull @GR4ND CUTIES 😍 love you guys,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0
80,1.22e+18,2020-01-29 00:57:55+00:00,41117946.0,"Just posted a photo @ Los Angeles, California https://t.co/PQoHpvkRPG",0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0
81,1.29e+18,2020-08-03 07:52:29+00:00,3864687866.0,@LydiaBurrell The “mamacita” on @DonaldJTrumpJr’s nanny doesn’t flatter her! Doesn’t make sense! Just saying.....,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0
82,1.24e+18,2020-03-12 16:14:32+00:00,52611745.0,"@maia_wt_curls @russeIIwest Girl no. What a poor, distasteful and DISGUSTING comment to make. No one should be getting raped tf???",1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,1
83,1.3e+18,2020-08-26 15:37:00+00:00,38596217.0,@DavidLeegarlock @DonnaHylton Jesus terrible human beings. 🙏,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0
84,1.22e+18,2020-01-16 19:23:19+00:00,54438453.0,@derose666 they think they’re so fuckin tough,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0
85,1.25e+18,2020-04-07 16:17:23+00:00,1608942180.0,@real_defender @realDonaldTrump Trump is a never ending joke. He is by no means presidential material. (Fixed it for you little RD... you must have had predictive text on.),1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0
86,1.29e+18,2020-08-01 01:03:13+00:00,50971934.0,@CDawgVA I literally have 0 clue what borderlands 3 is about cause you made us skip every cutscene.,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0
87,1.3e+18,2020-08-21 04:54:04+00:00,1.14625e+18,"Whoo, I’ve been so busy all day. I’ve been drawing few storms lately. I really need to rest my hands (my drawing right hand 🖐 to be extant) by putting them in a bowl of ice 🧊 🧊 right now. My hands 🤲 hurts. #tweet #express #gif #emotion https://t.co/U8kY5oYfwM",0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0
88,1.23e+18,2020-02-27 01:56:54+00:00,2171614915.0,Shoulda went to da league 😫 at least they gon pay me for my talent,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0
89,1.24e+18,2020-03-28 23:42:10+00:00,171210931.0,@DavidBegnaud @norisgirl Welcome to the rest of the country.  Trump is  still trying to keep numbers down out of pure narcissism. Screwing the lives of Americans.,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0
90,1.25e+18,2020-04-26 03:41:14+00:00,7.34458e+17,first off Andie’s fits are so fire and DUCKY was the fucking blueprint for indie boys today THE BOLO TIES THE SMALL CIRCLE GLASSES IM SCREAMING,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0
91,1.32e+18,2020-10-27 00:58:15+00:00,1594699470.0,This level of petty was brought to you by the soon-to-be ousted GOP Senate 🙄,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,1,0,0
92,1.34e+18,2020-12-10 00:29:06+00:00,1.11175e+18,"for me, listening to @Corpse_Husband feels like reading 50 shades. i be getting both hot and bothered no cap",0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0
93,1.29e+18,2020-08-03 12:02:38+00:00,311920348.0,I hate that I bought new laptop only cause I have to download thousands of songs again 🤦🏾‍♂️ bro why didn’t I put it on a hard drive 😭😭,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0
94,1.28e+18,2020-07-12 15:19:05+00:00,94434688.0,@MasterPMiller we need to chop it up 💯,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0
95,1.34e+18,2020-12-14 19:25:56+00:00,276302112.0,@frankenfemme_ Susanne made that shit out of one of her lil gays,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0
96,1.27e+18,2020-06-01 05:04:12+00:00,21145221.0,"#Chicken #Chashu #Pesto #Ramen...
#GlobalistRecipes #CheatDay #quarantinecooking #AsianFusion #MartialLaw #WhiteNationalistsHaveInfiltratedLawEnforcement @ Sherman Oaks, California https://t.co/OJ8mfUgfrP",0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0
